iter	Passed	Remaining
825	40113	8450
826	40161	8401
827	40204	8351
828	40246	8301
829	40285	8251
830	40326	8201
831	40366	8151
832	40414	8102
833	40468	8054
834	40508	8004
835	40551	7955
836	40592	7905
837	40639	7856
838	40686	7807
839	40729	7757
840	40770	7708
841	40812	7658
842	40849	7607
843	40890	7557
844	40930	7507
845	40975	7458
846	41019	7409
847	41059	7359
848	41100	7309
849	41141	7260
850	41187	7211
851	41226	7161
852	41279	7113
853	41323	7064
854	41365	7015
855	41404	6965
856	41444	6915
857	41492	6867
858	41537	6818
859	41584	6769
860	41630	6720
861	41678	6672
862	41724	6623
863	41775	6575
864	41821	6527
865	41876	6479
866	41920	6430
867	41969	6382
868	42013	6333
869	42052	6283
870	42092	6234
871	42134	6184
872	42182	6136
873	42230	6088
874	42277	6039
875	42322	5990
876	42372	5942
877	42415	5893
878	42463	5845
879	42511	5797
880	42562	5749
881	42605	5700
882	42649	5651
883	42698	5602
884	42740	5553
885	42782	5504
886	42823	5455
887	42867	5406
888	42907	5357
889	42958	5309
890	42999	5260
891	43041	5211
892	43084	5162
893	43129	5113
894	43172	5064
895	43221	5016
896	43273	4968
897	43321	4920
898	43365	4871
899	43415	4823
900	43456	4774
901	43497	4725
902	43543	4677
903	43589	4628
904	43629	4579
905	43672	4531
906	43720	4482
907	43764	4434
908	43812	4386
909	43856	4337
910	43900	4288
911	43940	4239
912	43983	4191
913	44029	4142
914	44077	4094
915	44120	4045
916	44161	3997
917	44205	3948
918	44250	3900
919	44296	3851
920	44341	3803
921	44395	3755
922	44439	3707
923	44487	3659
924	44532	3610
925	44569	3561
926	44612	3513
927	44656	3464
928	44707	3416
929	44753	3368
930	44796	3320
931	44835	3271
932	44879	3222
933	44923	3174
934	44976	3126
935	45014	3077
936	45058	3029
937	45099	2981
938	45143	2932
939	45188	2884
940	45229	2835
941	45270	2787
942	45316	2739
943	45368	2691
944	45407	2642
945	45458	2594
946	45503	2546
947	45544	2498
948	45585	2449
949	45631	2401
950	45670	2353
951	45717	2305
952	45764	2257
953	45804	2208
954	45859	2160
955	45898	2112
956	45940	2064
957	45989	2016
958	46033	1968
959	46083	1920
960	46130	1872
961	46172	1823
962	46222	1775
963	46279	1728
964	46323	1680
965	46368	1632
966	46420	1584
967	46463	1535
968	46505	1487
969	46547	1439
970	46591	1391
971	46636	1343
972	46678	1295
973	46726	1247
974	46771	1199
975	46810	1151
976	46848	1102
977	46893	1054
978	46931	1006
979	46977	958
980	47018	910
981	47063	862
982	47111	814
983	47158	766
984	47205	718
985	47245	670
986	47292	622
987	47337	574
988	47378	526
989	47421	479
990	47475	431
991	47523	383
992	47564	335
993	47606	287
994	47649	239
995	47697	191
996	47740	143
997	47791	95
998	47834	47
999	47877	0
